"Avibase.ID","spname","Species","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
"AVIBASE-3D57A982","Myiarchus tuberculifer","Myiarchus tuberculifer","9/28/2022",2483531,311501,311383,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483531&occurrence_status=present","manual",136312,3165,2655.2,43.35,-7.63
"AVIBASE-FC9E06A0","Myiarchus tyrannulus","Myiarchus tyrannulus","9/28/2022",2483589,226254,226165,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2483589&occurrence_status=present","manual",125196,3166.6,2641,43.51,-9.04999999999995
"AVIBASE-3255D987","Myioborus pictus","Myioborus pictus","9/28/2022",2489850,105926,105894,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489850&occurrence_status=present","manual",68358,3156.6,2567.2,42.51,-16.43
"AVIBASE-D1FC2D6B","Nucifraga columbiana","Nucifraga columbiana","9/28/2022",2482614,217355,217279,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482614&occurrence_status=present","manual",78384,3148.6,2488.8,41.71,-24.27
"AVIBASE-5284C27B","Numenius americanus","Numenius americanus","9/28/2022",2481794,385656,385636,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481794&occurrence_status=present","manual",288326,3174,2514,44.25,-21.75
"AVIBASE-F9305BAA","Numenius phaeopus","Numenius phaeopus","9/28/2022",2481784,1094557,1089840,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481784&occurrence_status=present","manual",225878,3194.6,2369,46.31,-36.25
"AVIBASE-C6772490","Nyctanassa violacea","Nyctanassa violacea","9/28/2022",2480953,536650,536021,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480953&occurrence_status=present","manual",222163,3148.8,2547,41.73,-18.45
"AVIBASE-6BB94D7E","Nycticorax nycticorax","Nycticorax nycticorax","9/28/2022",2480863,1906554,1902135,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480863&occurrence_status=present","manual",807246,3199,2462.2,46.75,-26.93
"AVIBASE-AB031597","Oenanthe oenanthe","Oenanthe oenanthe","9/28/2022",5231240,1207592,1204367,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231240&occurrence_status=present","manual",384574,3197.4,2350.6,46.59,-38.09
"AVIBASE-0B23929D","Oporornis agilis","Oporornis agilis","9/24/2022",2489611,34765,34752,NA,"code",30794,3128.2,2471.8,39.67,-25.97
"AVIBASE-171E91FF","Oreortyx pictus","Oreortyx pictus","9/24/2022",2474320,62807,62793,NA,"code",60003,3124.6,2579.8,39.31,-15.17
"AVIBASE-F6DF700B","Oreoscoptes montanus","Oreoscoptes montanus","9/28/2022",2494973,111893,111853,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2494973&occurrence_status=present","manual",108897,3182,2518.4,45.05,-21.31
"AVIBASE-675EEA7F","Oxyura jamaicensis","Oxyura jamaicensis","9/28/2022",2498305,2049964,2047369,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498305&occurrence_status=present","manual",608910,3179.2,2441.8,44.77,-28.97
"AVIBASE-1327AC55","Pandion haliaetus","Pandion haliaetus","9/28/2022",2480726,5008895,4995504,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480726&occurrence_status=present","manual",2126030,3199,2397.2,46.75,-33.43
