Avibase.ID,spname,Species,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments,gbif_dwnld_type
AVIBASE-03AC32BA,Larus glaucescens,Larus glaucescens,9/28/2022,2481196,1042135,1041956,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481196&occurrence_status=present,manual
AVIBASE-5941F453,Larus hartlaubii,Larus hartlaubii,9/24/2022,2481148,14871,14871,NA,code
AVIBASE-A59FA446,Larus hyperboreus,Larus hyperboreus,9/28/2022,2481127,316777,314027,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481127&occurrence_status=present,manual
AVIBASE-E826E9F3,Larus marinus,Larus marinus,9/28/2022,2481172,3432074,3427347,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481172&occurrence_status=present,manual
AVIBASE-575A3E3B,Larus occidentalis,Larus occidentalis,9/28/2022,9656686,1058354,1058297,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9656686&occurrence_status=present,manual
AVIBASE-FFF61080,Leiothlypis celata,Leiothlypis celata,9/28/2022,8169649,1920123,1919933,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8169649&occurrence_status=present,manual
AVIBASE-E8EB3C96,Leiothlypis luciae,Leiothlypis luciae,9/28/2022,8293756,155448,155434,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=8293756&occurrence_status=present,manual
AVIBASE-D204A930,Leiothlypis peregrina,Leiothlypis peregrina,9/28/2022,7415507,929894,929791,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7415507&occurrence_status=present,manual
AVIBASE-183E5F90,Leiothlypis ruficapilla,Leiothlypis ruficapilla,9/28/2022,7531611,1188496,1188400,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=7531611&occurrence_status=present,manual
AVIBASE-A97F14D0,Leiothlypis virginiae,Leiothlypis virginiae,9/24/2022,8314699,73630,73600,NA,code
AVIBASE-6CDC3C9C,Leucophaeus atricilla,Leucophaeus atricilla,9/28/2022,6065844,2022243,2022181,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6065844&occurrence_status=present,manual
AVIBASE-57C93A74,Leucophaeus pipixcan,Leucophaeus pipixcan,9/28/2022,5846430,396311,396255,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5846430&occurrence_status=present,manual
AVIBASE-4A3B2CFF,Limnodromus griseus,Limnodromus griseus,9/28/2022,2481672,561305,560735,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481672&occurrence_status=present,manual
AVIBASE-D3624203,Limnothlypis swainsonii,Limnothlypis swainsonii,9/24/2022,2489636,47010,47002,NA,code
AVIBASE-249AE8DF,Limosa fedoa,Limosa fedoa,9/28/2022,2481684,501778,501244,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481684&occurrence_status=present,manual
AVIBASE-93013964,Limosa haemastica,Limosa haemastica,9/24/2022,2481680,94924,94914,NA,code
AVIBASE-60E6081E,Lophodytes cucullatus,Lophodytes cucullatus,9/28/2022,2498408,2157265,2157215,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498408&occurrence_status=present,manual
AVIBASE-135564AA,Loxia curvirostra,Loxia curvirostra,9/28/2022,9629160,1048042,1046471,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9629160&occurrence_status=present,manual
