"spname","poscorsite","negcorsite","zerocorsite","poscorval","negcorval","zerocorval","occur_sites","avgcorval"
"Cardellina canadensis",11,10,0,1.48738807032492,-2.2896879423877,0,21,-0.0382047558125136
"Cardellina pusilla",41,30,0,10.1902903717303,-6.52210370861749,0,71,0.0516646008889127
"Cardellina rubrifrons",2,2,0,0.633327266412875,-0.236842677134539,0,4,0.099121147319584
"Cardinalis cardinalis",391,300,0,86.7919306379359,-50.317853447913,0,691,0.0527844821852718
"Cardinalis sinuatus",11,10,0,3.90998173652735,-1.8406146162578,0,21,0.0985412914414067
"Carduelis flammea",0,1,0,0,-0.350164055350061,0,1,-0.350164055350061
"Carduelis flammea / hornemanni",1,2,0,0.0369954114513809,-0.462331020556361,0,3,-0.141778536368327
"Carduelis tristis",1,0,0,0.502217841301134,0,0,1,0.502217841301134
"Cathartes aura",283,187,0,63.5709346131929,-27.480482485182,0,470,0.0767881960170444
"Catharus fuscescens",156,101,0,31.5972436908242,-16.1617145817538,0,257,0.0600604245489118
"Catharus guttatus",147,94,0,32.5225846609139,-14.6149338260474,0,241,0.0743056051239274
"Catharus minimus",10,3,0,2.87261029340388,-0.697432826713334,0,13,0.16732134359158
"Catharus ustulatus",85,61,0,21.7352373769597,-10.3509825817296,0,146,0.0779743479125351
"Catherpes mexicanus",5,8,0,0.981141316009231,-1.62334869764314,0,13,-0.0494005678179928
"Centrocercus urophasianus",1,0,0,0.0713134261907831,0,0,1,0.0713134261907831
"Centronyx bairdii",2,6,0,0.575523756840101,-1.02724301090601,0,8,-0.0564649067582392
"Centronyx henslowii",4,2,0,0.950200854945122,-0.193622376569826,0,6,0.126096413062549
"Cepphus columba",1,0,0,0.0581507197079518,0,0,1,0.0581507197079518
"Certhia americana",31,21,0,4.54117374211607,-3.07787217200823,0,52,0.028140414809766
"Chaetura pelagica",202,289,0,45.4825548997449,-51.7637577691423,0,491,-0.0127926738684265
"Chaetura vauxi",2,1,0,0.653646232075851,-0.123874537337738,0,3,0.176590564912704
"Chamaea fasciata",8,9,0,2.14540480279894,-2.32911886128147,0,17,-0.010806709322502
"Charadrius montanus",1,3,0,0.0892774282212837,-0.163317995430606,0,4,-0.0185101418023306
"Charadrius morinellus",0,1,0,0,-0.0639260909486502,0,1,-0.0639260909486502
"Charadrius vociferus",377,332,2,74.1884211578379,-58.1352544034541,0,711,0.0225782936067283
"Chlidonias niger",10,19,0,2.74874774954044,-3.55630802809483,0,29,-0.0278469061570477
"Chondestes grammacus",94,82,0,21.5903240124867,-14.6076557983331,0,176,0.0396742512167822
"Chordeiles acutipennis",6,13,0,2.02740876837327,-2.02302571957871,0,19,0.000230686778661086
"Chordeiles minor",81,78,0,17.0626889150227,-13.6625219047102,0,159,0.0213846981780661
"Cinclus mexicanus",1,1,0,0.155812329858145,-0.152434542166558,0,2,0.00168889384579386
"Circus cyaneus",1,1,0,0.0605184117661862,-0.0260288900681559,0,2,0.0172447608490152
"Circus hudsonius",27,16,0,5.48266404933771,-2.10836606101975,0,43,0.0784720462399524
"Cistothorus palustris",24,27,0,5.59142130666032,-4.56404313246711,0,51,0.0201446700822199
"Cistothorus platensis",52,17,0,11.911720256153,-1.53172207456676,0,69,0.150434756254873
"Clangula hyemalis",1,0,0,0.172480495491051,0,0,1,0.172480495491051
"Coccothraustes vespertinus",11,10,0,2.12860655342902,-2.2779950142407,0,21,-0.0071137362291277
"Coccyzus americanus",192,170,0,42.4358212750999,-27.7688191938594,0,362,0.0405165803349186
"Coccyzus erythropthalmus",13,10,0,3.28913016830342,-1.5824445240995,0,23,0.0742037236610401
"Colaptes auratus",1,2,0,0.0602763352431715,-0.192335079666767,0,3,-0.0440195814745318
"Colaptes auratus auratus",281,229,1,60.0852131420591,-36.298766317096,0,511,0.0465488196183231
"Colaptes auratus cafer",123,59,0,30.4188415774069,-8.77213731150448,0,182,0.118937935526936
"Colaptes chrysoides",2,4,0,0.221992070837641,-0.796103753678002,0,6,-0.0956852804733935
"Colinus virginianus",129,188,0,31.3713643428668,-36.7375003896651,0,317,-0.0169278739646633
"Columba livia",238,177,1,48.6486125887648,-28.6215716092981,0,416,0.0481419254314102
"Columbina inca",10,5,0,3.02890663902958,-1.2754169289981,0,15,0.116899314002099
"Columbina passerina",16,15,0,3.54230870188477,-2.91304673539081,0,31,0.0202987731127085
"Contopus cooperi",47,30,1,13.1064275928435,-5.42516099810094,0,78,0.098477776855674
"Contopus sordidulus",108,61,0,28.5735552121937,-10.5105312509673,0,169,0.106881798587138
"Contopus virens",303,279,0,59.8419723404067,-44.3150769406335,0,582,0.0266785144326
"Coragyps atratus",70,32,0,15.6561388335884,-4.7324624223466,0,102,0.107094866776881
"Corvus brachyrhynchos",517,428,2,109.168990714883,-65.8359866044411,0,947,0.0457581880786086
"Corvus brachyrhynchos / caurinus",1,0,0,0.276344313444062,0,0,1,0.276344313444062
"Corvus brachyrhynchos / ossifragus",4,6,0,0.967984358983313,-0.748389051591416,0,10,0.0219595307391897
"Corvus caurinus",2,4,0,0.0416065756515849,-0.700698925735966,0,6,-0.109848725014063
"Corvus corax",238,151,0,52.2538830695527,-23.4514757696871,0,389,0.0740421781487547
"Corvus cryptoleucus",15,12,0,4.26081094045706,-2.37078800523173,0,27,0.07000084945279
"Corvus cryptoleucus / corax",1,0,0,0.318201728997516,0,0,1,0.318201728997516
"Corvus ossifragus",57,57,0,14.8692385318944,-10.8339661138328,0,114,0.0353971264742247
"Coturnicops noveboracensis",0,1,0,0,-0.173766699384858,0,1,-0.173766699384858
"Cyanocitta cristata",422,369,0,91.3632254736312,-60.8871582148709,0,791,0.0385285300363595
"Cyanocitta stelleri",45,56,0,9.21051060790487,-8.18646351328557,0,101,0.0101390801447455
"Cygnus buccinator",3,0,0,0.480259858324002,0,0,3,0.160086619441334
"Cygnus columbianus",0,1,0,0,-0.0539738369393093,0,1,-0.0539738369393093
"Cygnus olor",1,1,0,0.126892563197897,-0.048518523957788,0,2,0.0391870196200543
"Cynanthus latirostris",1,0,0,0.830349720299708,0,0,1,0.830349720299708
"Dendragapus fuliginosus",6,0,0,1.20070404222274,0,0,6,0.200117340370457
"Dendrocygna autumnalis",5,1,0,1.48854908381722,-0.223107365635174,0,6,0.210906953030341
"Dendrocygna bicolor",1,0,0,0.0601615487990903,0,0,1,0.0601615487990903
"Dolichonyx oryzivorus",146,140,0,27.1973487854427,-23.3000451462223,0,286,0.01362693580147
"Dryobates albolarvatus",8,2,0,2.60374552544492,-0.147663622587824,0,10,0.24560819028571
"Dryobates borealis",1,0,0,0.0397772834634097,0,0,1,0.0397772834634097
"Dryobates nuttallii",7,5,0,2.25905252384884,-0.975650013552198,0,12,0.106950209191387
"Dryobates pubescens",322,222,3,66.1635590855826,-35.6472697379155,0,547,0.0557884631584409
"Dryobates scalaris",26,10,0,6.83170295749713,-2.18950921793992,0,36,0.128949826098811
"Dryobates villosus",110,67,1,21.4747881335012,-9.41247481404062,0,178,0.0677658051655089
"Dryocopus pileatus",183,134,0,38.5946896360939,-20.8837946650089,0,317,0.0558703311390692
"Dumetella carolinensis",327,240,0,64.6592373045009,-41.0791402083296,0,567,0.0415874728327536
"Egretta caerulea",15,12,0,3.86409177266557,-2.44750411979844,0,27,0.0524662093654492
"Egretta thula",8,10,0,0.615991930079587,-2.3074971599751,0,18,-0.0939725127719727
"Egretta tricolor",2,7,0,0.793315385500721,-1.29626528768587,0,9,-0.0558833224650166
"Elanoides forficatus",4,4,0,1.49967592068871,-0.759922834745794,0,8,0.0924691357428649
"Elanus leucurus",0,2,0,0,-0.386945950940681,0,2,-0.19347297547034
"Emberiza schoeniclus",0,1,0,0,-0.103821029459364,0,1,-0.103821029459364
"Empidonax alnorum",86,116,0,14.9623234628035,-18.7670573745466,0,202,-0.018835316394768
"Empidonax difficilis",22,22,0,7.24780346946626,-3.36177403240605,0,44,0.0883188508422775
"Empidonax flaviventris",9,7,0,1.61029977875818,-1.39131558925313,0,16,0.0136865118440654
"Empidonax hammondii",41,34,0,9.39539152758558,-5.61690967269002,0,75,0.0503797580652742
"Empidonax minimus",125,114,0,24.1618473480927,-15.7754087399082,0,239,0.0350897012894747
"Empidonax oberholseri",50,33,0,11.9777837395991,-6.20688929306612,0,83,0.0695288487534089
"Empidonax occidentalis",18,9,0,5.21721540673643,-2.10168628505184,0,27,0.115389967469799
"Empidonax sp.",0,3,0,0,-0.713849292423068,0,3,-0.237949764141023
"Empidonax traillii",108,85,0,20.9583466456366,-13.7950800469701,0,193,0.0371153709775461
"Empidonax virescens",117,84,0,25.8335659284869,-13.0382173972002,0,201,0.0636584504044116
"Empidonax wrightii",12,12,0,3.30610382879109,-2.41404372151025,0,24,0.0371691711367015
"Eremophila alpestris",207,205,0,45.3642465832651,-36.6905241423691,0,412,0.0210527243711068
"Erithacus rubecula",1,0,0,0.424009296485597,0,0,1,0.424009296485597
