"spname","poscorsite","negcorsite","zerocorsite","poscorval","negcorval","zerocorval","occur_sites","avgcorval"
"Parkesia motacilla",23,28,0,5.44708498495152,-5.15010485797879,0,51,0.00582313974456333
"Parkesia noveboracensis",37,36,0,7.93866478997013,-7.89510788211669,0,73,0.000596669970595131
"Parus caeruleus",1,0,0,0.234230966650402,0,0,1,0.234230966650402
"Parus major",0,1,0,0,-0.0753008613156987,0,1,-0.0753008613156987
"Parus palustris",1,0,0,0.267534192512887,0,0,1,0.267534192512887
"Passer domesticus",373,386,0,82.4278802516475,-66.6311303415872,0,759,0.0208125822266934
"Passer montanus",2,1,0,0.50603770265841,-0.0352374274048985,0,3,0.156933425084504
"Passerculus sandwichensis",193,190,0,38.4623248699372,-33.1107994489762,0,383,0.0139726512296632
"Passerella iliaca",39,13,0,8.49813840986739,-2.46445880104803,0,52,0.116032300169603
"Passerina amoena",42,30,0,11.8429907065271,-4.77012982918206,0,72,0.0982341788520142
"Passerina caerulea",188,125,0,46.6016721667399,-19.6949069180656,0,313,0.0859641062257965
"Passerina ciris",39,26,0,6.54687339156873,-4.96292936199655,0,65,0.0243683696857258
"Passerina cyanea",331,321,0,69.9151772691172,-60.8706450554419,0,652,0.0138719819228148
"Passerina versicolor",0,1,0,0,-0.114857390349776,0,1,-0.114857390349776
"Patagioenas fasciata",15,8,0,4.63456872935513,-0.72077174212072,0,23,0.170165086401496
"Patagioenas leucocephala",1,0,0,0.345636691148691,0,0,1,0.345636691148691
"Pelecanus erythrorhynchos",15,5,0,3.73770142610339,-0.82382316861126,0,20,0.145693912874606
"Pelecanus occidentalis",4,1,0,0.322048535573957,-0.0526144879974301,0,5,0.0538868095153053
"Perdix perdix",4,3,0,0.536913913275421,-0.299008281285651,0,7,0.0339865188556815
"Perisoreus canadensis",22,20,0,5.23711774399754,-2.96727929218864,0,42,0.0540437726621168
"Petrochelidon fulva",5,2,0,0.996726405625204,-0.179173731840892,0,7,0.116793239112045
"Petrochelidon pyrrhonota",176,169,0,33.7446787634966,-26.4019737677531,0,345,0.021283202886213
"Peucaea aestivalis",6,6,0,2.41539982743942,-1.24827458339162,0,12,0.0972604370039835
"Peucaea botterii",1,0,0,0.475768586237881,0,0,1,0.475768586237881
"Peucaea cassinii",26,23,0,7.17506268200465,-4.53758643731065,0,49,0.0538260458100817
"Peucedramus taeniatus",0,1,0,0,-0.0925856229102447,0,1,-0.0925856229102447
"Phainopepla nitens",7,3,0,3.17169442421311,-0.448114089406568,0,10,0.272358033480654
"Phalacrocorax auritus",23,15,0,5.59180931723157,-2.25201296108329,0,38,0.0878893777933757
"Phalacrocorax pelagicus",0,1,0,0,-0.114583551884323,0,1,-0.114583551884323
"Phalacrocorax penicillatus",0,1,0,0,-0.158958194428679,0,1,-0.158958194428679
"Phalacrocorax sp.",1,0,0,0.0371701119088113,0,0,1,0.0371701119088113
"Phalaenoptilus nuttallii",2,0,0,1.05397924457166,0,0,2,0.52698962228583
"Phalaropus tricolor",8,11,0,2.26277465536755,-2.38843217848033,0,19,-0.00661355384804115
"Phasianus colchicus",94,113,0,15.8169141873391,-18.9688087009622,0,207,-0.0152265435440729
"Pheucticus ludovicianus",149,154,0,27.8649996786106,-24.63979790084,0,303,0.0106442302896719
"Pheucticus melanocephalus",71,68,0,17.1681721081477,-12.8662886065092,0,139,0.0309488021700608
"Philomachus pugnax",1,0,0,0.0573515610782718,0,0,1,0.0573515610782718
"Phoenicurus phoenicurus",1,0,0,0.159996840152807,0,0,1,0.159996840152807
"Phylloscopus borealis",2,1,0,0.279193631575226,-0.158854705318789,0,3,0.0401129754188123
"Phylloscopus trochilus",2,0,0,0.721297079176327,0,0,2,0.360648539588164
"Pica hudsonia",102,61,0,25.892944277333,-8.65093329579827,0,163,0.105779208475673
"Pica nuttalli",3,5,0,1.60745406914921,-1.2147774793636,0,8,0.0490845737232021
"Picoides arcticus",1,0,0,0.139897520310717,0,0,1,0.139897520310717
"Picoides pubescens",1,0,0,0.205055543171045,0,0,1,0.205055543171045
"Picoides villosus",0,1,0,0,-0.0537503715190372,0,1,-0.0537503715190372
"Pinicola enucleator",1,3,0,0.0858721876802924,-0.205973842653206,0,4,-0.0300254137432284
"Pipilo chlorurus",37,34,1,7.90582348970084,-5.33897567071516,0,72,0.0356506641525789
"Pipilo erythrophthalmus",242,202,0,57.1739416731787,-38.4828196978714,0,444,0.0420971215660074
"Pipilo maculatus",85,60,0,20.5011081914455,-10.5795053656708,0,145,0.0684248470743085
"Piranga flava",6,3,0,2.40462759095146,-0.772464927954996,0,9,0.181351406999607
"Piranga ludoviciana",99,49,0,24.294438911044,-7.47438738539277,0,148,0.113648996794941
"Piranga olivacea",154,155,0,33.5757803574483,-28.1485021403763,0,309,0.0175640071749903
"Piranga rubra",138,85,0,33.9610023890344,-13.4503846506239,0,223,0.091975864297805
"Pitangus sulphuratus",0,1,0,0,-0.147394353396951,0,1,-0.147394353396951
"Plegadis chihi",2,1,0,0.320965947141516,-0.294900957417695,0,3,0.00868832990794038
"Plegadis falcinellus",1,2,0,0.172359661405005,-0.530335331321459,0,3,-0.119325223305485
"Plegadis falcinellus / chihi",1,1,0,0.433398128197041,-0.0855180900757335,0,2,0.173940019060653
"Pluvialis apricaria",0,1,0,0,-0.251759073439604,0,1,-0.251759073439604
"Pluvialis dominica",1,0,0,0.406002187923719,0,0,1,0.406002187923719
"Plylloscopus trochilus",1,0,0,0.135273979744671,0,0,1,0.135273979744671
"Podiceps grisegena",3,5,0,0.437847191432639,-1.09298117684932,0,8,-0.0818917481770847
"Podiceps nigricollis",7,2,0,1.64891798810346,-0.557274181751731,0,9,0.121293756261303
"Podilymbus podiceps",14,15,0,1.97630033241737,-2.09265607126803,0,29,-0.00401226685691932
"Poecile atricapillus",271,176,0,60.9261794310615,-26.0497919406199,0,447,0.0780232382336503
"Poecile carolinensis",168,148,0,34.6744192904926,-25.4129791674029,0,316,0.0293083548199039
"Poecile gambeli",53,44,0,12.0091571424769,-8.6069249655983,0,97,0.0350745585245213
"Poecile hudsonicus",8,3,0,2.02093803917067,-0.554982593840126,0,11,0.133268676848232
"Poecile rufescens",22,12,0,6.16224744624884,-2.48111123270934,0,34,0.108268712162926
"Poecile sp.",0,1,0,0,-0.183798111503799,0,1,-0.183798111503799
"Polioptila caerulea",169,164,0,42.4928331487253,-28.5683291849877,0,333,0.0418153272184313
"Polioptila melanura",9,6,0,3.284378910351,-0.770859902423569,0,15,0.167567933861829
"Pooecetes gramineus",149,134,0,29.1288870694387,-22.8169515096799,0,283,0.0223036592217625
"Porzana carolina",20,25,0,5.17898634178876,-3.98302448448022,0,45,0.026576930162412
"Progne subis",166,115,0,37.6157059516787,-16.7971288014592,0,281,0.0740874631680408
"Protonotaria citrea",33,20,0,9.05760538317174,-3.23036002814201,0,53,0.109948025566599
"Prunella modularis",1,1,0,0.136299012460767,-0.020636132432227,0,2,0.0578314400142698
"Psaltriparus minimus",14,8,0,3.0129494816497,-1.27790543803171,0,22,0.0788656383462724
"Pyrocephalus rubinus",4,3,0,1.38832599386486,-0.484816754708885,0,7,0.129072748450853
"Quiscalus major",15,11,0,4.6157938319592,-2.39456232123419,0,26,0.0854319811817312
"Quiscalus mexicanus",23,17,0,6.37970907823545,-3.18787437488498,0,40,0.0797958675837618
"Quiscalus quiscula",354,447,1,77.9232105586059,-79.3322259847053,0,802,-0.00175687708989945
"Rallus crepitans",4,2,0,0.685641992604414,-0.72085824154388,0,6,-0.00586937482324436
"Rallus limicola",2,2,0,0.805858985222455,-0.318483218534663,0,4,0.121843941671948
"Recurvirostra americana",6,7,0,1.03678669071858,-0.924741926381568,0,13,0.00861882802592394
"Regulus calendula",66,52,0,14.2966388098472,-7.85559017542174,0,118,0.0545851579188597
"Regulus satrapa",57,27,0,15.5925411925778,-3.70034204174448,0,84,0.141573799414683
"Rhynchophanes mccownii",4,1,0,0.348036428681848,-0.0727981838899608,0,5,0.0550476489583775
"Riparia riparia",23,35,0,3.43581377167463,-5.65745836661349,0,58,-0.0383042171541184
"Rissa tridactyla",0,1,0,0,-0.246045197740113,0,1,-0.246045197740113
"Rynchops niger",1,0,0,0.448149098284891,0,0,1,0.448149098284891
"Salpinctes obsoletus",51,42,0,12.2614092914142,-9.23913012051865,0,93,0.0324976254935007
"Sayornis nigricans",13,5,0,3.42204974759873,-1.15975012776077,0,18,0.12568331221322
"Sayornis phoebe",397,186,1,90.4183919562494,-25.5884262393575,0,584,0.11101021526865
"Sayornis saya",54,39,1,13.8893805330009,-6.84333910699819,0,94,0.074957887510667
"Scolopax minor",2,0,0,0.250048075821771,0,0,2,0.125024037910885
"Seiurus aurocapilla",195,211,1,39.9544097897438,-34.3485298386628,0,407,0.013773660813467
"Seiurus motacilla",1,0,0,0.131693687115483,0,0,1,0.131693687115483
"Selasphorus calliope",10,1,0,1.56757323490056,-0.420057917303291,0,11,0.104319574327024
"Selasphorus platycercus",22,20,0,4.67276211429003,-3.8029469378725,0,42,0.0207098851527983
"Selasphorus rufus",10,15,0,1.83276655489804,-2.640758744181,0,25,-0.0323196875713183
"Selasphorus sasin",0,1,0,0,-0.0657059259363027,0,1,-0.0657059259363027
"Setophaga americana",160,71,0,38.6259041901425,-11.0262663846647,0,231,0.119478951538865
"Setophaga caerulescens",36,26,0,6.55460349869148,-5.11875928281501,0,62,0.0231587776754269
"Setophaga castanea",2,2,0,0.818800862978315,-0.220670797184421,0,4,0.149532516448473
"Setophaga cerulea",10,7,0,2.38816504615203,-0.646220649617673,0,17,0.102467317443197
"Setophaga citrina",108,44,0,24.7620322733376,-7.39570805871879,0,152,0.114252132990913
"Setophaga coronata",3,2,0,0.867613985671767,-0.648927138983995,0,5,0.0437373693375544
"Setophaga coronata audoboni",62,50,0,14.0533708051739,-9.76529368189826,0,112,0.0382864028863894
"Setophaga coronata coronata",70,66,1,13.403967014854,-11.4032637811013,0,137,0.0146036732390711
"Setophaga discolor",71,64,0,18.4284806127324,-11.9897507797946,0,135,0.0476942950587989
"Setophaga dominica",36,26,0,11.4557463898631,-4.54230553556812,0,62,0.111507110553144
"Setophaga fusca",39,44,0,8.88989142204306,-7.16127136803328,0,83,0.020826747638672
"Setophaga graciae",8,8,0,2.35535304432416,-1.26950752011002,0,16,0.0678653452633838
"Setophaga magnolia",45,46,1,6.92004875776865,-8.61737163759674,0,92,-0.0184491617372619
"Setophaga nigrescens",22,18,0,5.93586921254142,-3.61304493949282,0,40,0.058070606826215
"Setophaga occidentalis",8,14,0,2.07545270485622,-3.04439785097791,0,22,-0.0440429611873495
"Setophaga palmarum",5,0,0,0.741121746982635,0,0,5,0.148224349396527
"Setophaga pensylvanica",107,109,0,20.3047983766789,-15.7783588973693,0,216,0.0209557383301367
"Setophaga petechia",289,302,0,61.2404951155541,-54.0086519507544,0,591,0.0122366212602364
"Setophaga pinus",135,102,1,35.3979704506169,-17.4516093295356,0,238,0.0754048786600051
"Setophaga ruticilla",162,135,0,29.7883221418296,-19.1367064974887,0,297,0.0358640257385217
"Setophaga striata",7,3,0,2.32800689358372,-0.421809316498641,0,10,0.190619757708508
"Setophaga tigrina",1,5,0,0.151638540109137,-1.2365397658715,0,6,-0.180816870960393
"Setophaga townsendi",21,23,0,6.13911411361254,-4.96059534253696,0,44,0.026784517524445
"Setophaga virens",71,84,0,14.2708006046683,-15.2479520124791,0,155,-0.00630420263103707
"Sialia currucoides",74,29,0,19.244935330048,-5.44914042576649,0,103,0.133939756352247
"Sialia mexicana",25,14,0,6.23035583658249,-1.98959018728718,0,39,0.108737580751162
"Sialia sialis",332,228,0,73.9038627023112,-34.9440619221628,0,560,0.0695710728216936
"Sitta canadensis",133,55,0,29.8347941032481,-8.30258129070949,0,188,0.114533046875205
"Sitta carolinensis",315,123,0,74.6622964356179,-15.8777970392553,0,438,0.134211185836444
"Sitta pusilla",31,20,0,8.12652135491684,-3.93147986786706,0,51,0.0822557154323486
"Sitta pygmaea",10,5,0,2.07562596312561,-0.891316688776148,0,15,0.0789539516232971
"Somateria mollissima",1,0,0,0.236676773789564,0,0,1,0.236676773789564
"Spatula clypeata",26,10,0,9.18528853861934,-1.79899599903233,0,36,0.205174792766306
"Spatula cyanoptera",4,9,0,0.64797287892788,-1.41898483273493,0,13,-0.0593086118313119
"Spatula discors",20,33,0,5.44808280539492,-5.60840299393232,0,53,-0.00302490921768683
"Sphyrapicus nuchalis",22,12,0,4.48383402715101,-2.26838708458305,0,34,0.0651602041931753
"Sphyrapicus ruber",19,6,0,5.64856115196705,-1.05126312688494,0,25,0.183891921003285
"Sphyrapicus sp.",1,0,0,0.161675934142005,0,0,1,0.161675934142005
"Sphyrapicus thyroideus",3,1,0,0.777051716885856,-0.0355113299216558,0,4,0.18538509674105
"Sphyrapicus varius",101,58,0,20.7317113586232,-7.66746418128136,0,159,0.0821650765870554
"Spinus lawrencei",1,0,0,0.276994275114929,0,0,1,0.276994275114929
"Spinus pinus",32,63,0,8.15337859121611,-11.845472630666,0,95,-0.0388641477836825
"Spinus psaltria",27,20,0,6.88267267037879,-3.42166178432715,0,47,0.0736385294904603
"Spinus tristis",421,327,0,84.7380757301923,-53.0554109750019,0,748,0.0423565036834097
"Spiza americana",114,99,0,23.4977818167843,-17.5938329619386,0,213,0.0277180697410596
"Spizella atrogularis",2,6,0,0.511276531553654,-1.09457685616189,0,8,-0.0729125405760299
"Spizella breweri",52,36,0,15.0165933191144,-7.25309816020046,0,88,0.0882215358967491
"Spizella pallida",72,44,0,14.1360428581954,-5.58829131652538,0,116,0.0736875132902588
"Spizella passerina",442,405,1,98.0351828275666,-65.475670821179,0,848,0.0383956509509288
"Spizella pusilla",234,215,0,47.482525027075,-36.8064321585951,0,449,0.0237774896848104
"Spizelloides arborea",1,8,0,0.613124961616294,-1.53742955907514,0,9,-0.102700510828761
"Stelgidopteryx serripennis",90,81,1,17.7635832838761,-13.58049919809,0,172,0.0243202563127101
"Stercorarius longicaudus",0,1,0,0,-0.160219515464744,0,1,-0.160219515464744
"Sterna bergii",1,1,0,0.0117417229449367,-0.121578220794455,0,2,-0.0549182489247591
"Sterna caspia",0,2,0,0,-0.359133144574503,0,2,-0.179566572287251
"Sterna forsteri",2,5,0,0.241964521658245,-0.927835680669638,0,7,-0.0979815941444848
"Sterna hirundo",0,5,0,0,-0.882371337825126,0,5,-0.176474267565025
"Sterna paradisaea",0,2,0,0,-0.235751123772123,0,2,-0.117875561886061
"Sterna sandvicensis",2,0,0,0.296905451458368,0,0,2,0.148452725729184
"Sternula antillarum",1,0,0,0.0773036072064377,0,0,1,0.0773036072064377
"Streptopelia decaocto",48,13,0,12.7892909615192,-2.08971189912946,0,61,0.175402935449012
"Strix varia",2,5,0,0.902710618851345,-0.691248521935709,0,7,0.030208870987948
"Sturnella magna",252,305,1,53.9309648818646,-53.0679272625737,0,558,0.00154666240016289
"Sturnella magna / neglecta",0,1,0,0,-0.208603763617655,0,1,-0.208603763617655
"Sturnella neglecta",135,183,0,29.6658905220261,-30.6281987759474,0,318,-0.00302612658465817
"Sturnus vulgaris",454,456,0,86.1494790355772,-80.5762858586086,0,910,0.00612438810655886
"Sylvia atricapilla",1,0,0,0.629415067204951,0,0,1,0.629415067204951
"Sylvia borin",0,2,0,0,-0.326686095499697,0,2,-0.163343047749848
"Sylvia communis",1,0,0,0.0263093644486187,0,0,1,0.0263093644486187
"Tachycineta bicolor",261,218,1,51.1992833029954,-32.6598699283914,0,480,0.0386237778637583
"Tachycineta thalassina",64,56,0,16.568654148188,-9.02596555384912,0,120,0.0628557382861573
"Thalasseus maximus",2,1,0,0.468925931624724,-0.138771538040238,0,3,0.110051464528162
"Thryomanes bewickii",55,33,0,13.3557279009063,-5.72788646339637,0,88,0.08668001633534
"Thryothorus ludovicianus",293,123,0,69.5530572103853,-20.6795513877175,0,416,0.117484388996798
"Toxostoma bendirei",0,2,0,0,-0.273495772792996,0,2,-0.136747886396498
"Toxostoma crissale",1,1,0,0.437902165175521,-0.128556696858408,0,2,0.154672734158556
"Toxostoma curvirostre",11,10,1,2.66142497446661,-1.97209587055455,0,22,0.0313331410869117
"Toxostoma lecontei",1,0,0,0.000781188733632774,0,0,1,0.000781188733632774
"Toxostoma longirostre",2,1,0,0.585860447094646,-0.216055715670073,0,3,0.123268243808191
"Toxostoma redivivum",5,1,0,1.23980009858006,-0.22489662859174,0,6,0.169150578331387
"Toxostoma rufum",281,259,0,59.7296616866921,-40.1847476390755,0,540,0.0361942852733641
"Tringa flavipes",5,4,0,2.16245793415005,-0.934861938427537,0,9,0.136399555080279
"Tringa melanoleuca",3,1,0,0.723090937498404,-0.19028056836637,0,4,0.133202592283009
"Tringa semipalmata",19,24,0,4.00972574176902,-3.92853436879613,0,43,0.00188817146448594
"Tringa solitaria",2,0,0,0.264334377245013,0,0,2,0.132167188622507
"Trochilid sp.",1,0,0,0.328948245322824,0,0,1,0.328948245322824
"Troglodytes aedon",346,265,1,66.4436427646912,-43.2082869799998,0,612,0.0379662676220446
"Troglodytes hiemalis",64,19,0,13.4116021986503,-2.48410756099379,0,83,0.131656561899475
"Troglodytes pacificus",19,28,0,3.97989250133123,-4.70843862800762,0,47,-0.0155009814186465
"Troglodytes troglodytes",1,0,0,0.532557226449214,0,0,1,0.532557226449214
"Turdus iliacus",1,0,0,0.0939034406117338,0,0,1,0.0939034406117338
"Turdus merula",1,0,0,0.0871373715404337,0,0,1,0.0871373715404337
"Turdus migratorius",597,419,1,126.29401357373,-69.8088520923858,0,1017,0.0555409650750683
"Turdus philomelos",1,0,0,0.264847478767491,0,0,1,0.264847478767491
"Turdus pilaris",1,0,0,0.274131427283836,0,0,1,0.274131427283836
"Tympanuchus phasianellus",0,3,0,0,-0.417564096610025,0,3,-0.139188032203342
"Tyrannus couchii",2,0,0,0.598303586335751,0,0,2,0.299151793167876
"Tyrannus crassirostris",1,0,0,0.0868970374784666,0,0,1,0.0868970374784666
"Tyrannus forficatus",40,37,0,7.25550281931532,-6.19950860927607,0,77,0.0137142105199902
"Tyrannus tyrannus",317,316,0,66.1176375727134,-49.6419225140859,0,633,0.0260279858746089
"Tyrannus verticalis",114,107,0,26.8692658586004,-18.9791930855986,0,221,0.0357016867556643
"Tyrannus vociferans",22,17,0,5.97503716979172,-3.01999539413186,0,39,0.0757703019399966
"Vermivora chrysoptera",2,13,0,0.592559739870246,-2.4069693231227,0,15,-0.120960638883497
"Vermivora cyanoptera",14,21,0,2.13494161341439,-3.9110540500155,0,35,-0.0507460696171745
"Vireo altiloquus",1,0,0,0.283769703514546,0,0,1,0.283769703514546
"Vireo atricapilla",0,1,0,0,-0.370385763220381,0,1,-0.370385763220381
"Vireo bellii",28,15,0,5.86315042210932,-1.9432027584943,0,43,0.0911615735724424
"Vireo cassinii",37,21,0,9.02631220255907,-3.14137990995426,0,58,0.101464349872497
"Vireo flavifrons",120,86,0,27.2071545530773,-14.5129046861477,0,206,0.0616225721695612
"Vireo gilvus",234,267,2,46.6972893748488,-45.1486332772938,0,503,0.00307883916014914
"Vireo griseus",176,98,0,47.3629641817875,-17.3049726049577,0,274,0.10970069918551
"Vireo huttoni",9,11,0,2.83372522600077,-1.6288957184808,0,20,0.0602414753759989
"Vireo olivaceus",360,303,1,74.721456966357,-50.6439428600877,0,664,0.0362613164251043
"Vireo philadelphicus",3,1,0,0.506056189971785,-0.338086999283734,0,4,0.0419922976720129
"Vireo plumbeus",23,18,0,6.21346191429017,-3.72118990953568,0,41,0.0607871220671826
"Vireo solitarius",71,46,0,14.5930963295549,-7.65712871391867,0,117,0.0592817744926175
"Vireo vicinior",4,2,0,0.839139659479474,-0.385335851748065,0,6,0.0756339679552349
"Woodpecker sp.",2,0,0,0.275917713046926,0,0,2,0.137958856523463
"Xanthocephalus xanthocephalus",46,37,0,9.09053007745822,-7.7584603059414,0,83,0.0160490333917689
"Zenaida asiatica",29,9,0,9.18382753985051,-1.95841386111103,0,38,0.190142465229986
"Zenaida macroura",566,532,0,117.388796075369,-92.5581600325477,0,1098,0.0226144226255205
"Zonotrichia albicollis",78,66,0,14.4557457575824,-8.64669333858298,0,144,0.0403406417986071
"Zonotrichia atricapilla",2,4,0,0.977832527292355,-0.72532431282395,0,6,0.0420847024114007
"Zonotrichia leucophrys",58,32,0,15.2390790679635,-4.62152042335288,0,90,0.117972873829007
