"SpecCode","Species","Author","name_in_mydb","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
2990,"Hypentelium nigricans","(Lesueur, 1817)","Hypentelium nigricans","2022-09-16",2358931,12288,12283,NA,"code",3462,3062.6,2579.4,33.11,-15.21
274,"Hypophthalmichthys molitrix","(Valenciennes, 1844)","Hypophthalmichthys molitrix","2022-09-16",2362473,5448,5447,NA,"code",5275,3124.4,2556.4,39.29,-17.51
275,"Hypophthalmichthys nobilis","(Richardson, 1845)","Hypophthalmichthys nobilis","2022-09-16",2362486,2075,2075,NA,"code",1960,3120,2595.6,38.85,-13.59
2518,"Ichthyomyzon greeleyi","Hubbs & Trautman, 1937","Ichthyomyzon greeleyi","2023-08-02",2421252,424,424,NA,"code",46,3026.8,2690.4,29.53,-4.10999999999996
3019,"Ictalurus furcatus","(Valenciennes, 1840)","Ictalurus furcatus","2022-09-16",5202525,28659,6675,NA,"code",4694,3122.2,2594.4,39.07,-13.71
290,"Ictalurus punctatus","(Rafinesque, 1818)","Ictalurus punctatus","2022-09-16",5202520,40377,40335,NA,"code",26168,3162,2535.6,43.05,-19.59
2992,"Ictiobus bubalus","(Rafinesque, 1818)","Ictiobus bubalus","2022-09-16",2359075,11059,2956,NA,"code",1291,3116.6,2590.4,38.51,-14.11
2993,"Ictiobus cyprinellus","(Valenciennes, 1844)","Ictiobus cyprinellus","2022-09-16",2359081,2635,2631,NA,"code",1961,3139.8,2555.8,40.83,-17.57
2994,"Ictiobus niger","(Rafinesque, 1819)","Ictiobus niger","2022-09-16",2359079,335,333,NA,"code",32,3110.4,2610.8,37.89,-12.0699999999999
3238,"Labidesthes sicculus","(Cope, 1865)","Labidesthes sicculus","2022-09-16",2412271,12740,12728,NA,"code",3634,3080.6,2575.2,34.91,-15.63
1075,"Lepisosteus oculatus","Winchell, 1864","Lepisosteus oculatus","2022-09-16",2346692,34062,4908,NA,"code",3429,3104.6,2649.2,37.31,-8.23000000000002
1076,"Lepisosteus osseus","(Linnaeus, 1758)","Lepisosteus osseus","2022-09-16",2346701,14853,6764,NA,"code",4072,3103.4,2574.2,37.1900000000001,-15.73
2597,"Lepisosteus platostomus","Rafinesque, 1820","Lepisosteus platostomus","2022-09-16",2346740,889,889,NA,"code",398,3079.8,2588,34.83,-14.35
3370,"Lepomis auritus","(Linnaeus, 1758)","Lepomis auritus","2023-08-02",2394491,24557,24557,NA,"code",16632,3101,2579.8,36.95,-15.17
3371,"Lepomis cyanellus","Rafinesque, 1819","Lepomis cyanellus","2022-09-16",2394494,38697,38648,NA,"code",17605,3160,2549.8,42.85,-18.17
