"SpecCode","Species","Author","name_in_mydb","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
35,"Anguilla anguilla","(Linnaeus, 1758)","Anguilla anguilla","2022-09-16",5212973,629379,594222,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5212973&occurrence_status=present","manual",559978,3089,2568.8,35.75,-16.27
297,"Anguilla australis","Richardson, 1841","Anguilla australis","2022-09-16",5712356,33395,33390,NA,"code",30900,3036.4,2703.4,30.49,-2.80999999999995
11878,"Anguilla dieffenbachii","Gray, 1842","Anguilla dieffenbachii","2022-09-16",5213018,35213,35212,NA,"code",32962,2997,2659.4,26.55,-7.20999999999998
3577,"Aplodinotus grunniens","Rafinesque, 1819","Aplodinotus grunniens","2022-09-16",2400265,11840,11823,NA,"code",9013,3106.2,2519.8,37.47,-21.17
6377,"Barbatula barbatula","(Linnaeus, 1758)","Barbatula barbatula","2022-09-16",5204862,644885,644819,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5204862&occurrence_status=present","manual",636566,3060.6,2545.2,32.91,-18.63
65106,"Barbatula quignardi","(Băcescu-Meşter, 1967)","Barbatula quignardi","2022-09-16",2357565,10788,10788,NA,"code",10644,3059,2691.8,32.75,-3.96999999999997
4472,"Barbus barbus","(Linnaeus, 1758)","Barbus barbus","2022-09-16",5739539,269531,269507,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5739539&occurrence_status=present","manual",119812,3044.8,2610,31.33,-12.15
5424,"Barbus meridionalis","Risso, 1827","Barbus meridionalis","2022-09-16",5739559,38354,38353,NA,"code",36996,3041,2606.4,30.95,-12.51
4471,"Blicca bjoerkna","(Linnaeus, 1758)","Blicca bjoerkna","2022-09-16",2359471,185404,183639,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2359471&occurrence_status=present","manual",173558,3047.4,2553.2,31.59,-17.83
2743,"Campostoma anomalum","(Rafinesque, 1820)","Campostoma anomala","2022-09-16",2361357,21912,21902,NA,"code",3708,3084,2582.6,35.25,-14.89
271,"Carassius auratus","(Linnaeus, 1758)","Carassius auratus","2022-09-16",4286942,55317,54604,NA,"code",31950,3163.6,2559.4,43.21,-17.21
270,"Carassius carassius","(Linnaeus, 1758)","Carassius carassius","2022-09-16",2366645,35874,34052,NA,"code",31159,3056.6,2527.8,32.51,-20.3699999999999
2957,"Carpiodes carpio","(Rafinesque, 1820)","Carpiodes carpio","2022-09-16",2358948,6592,6568,NA,"code",887,3130.8,2590.6,39.9300000000001,-14.09
4775,"Carpiodes cyprinus","(Lesueur, 1817)","Carpiodes cyprinus","2022-09-16",2358950,4040,4031,NA,"code",1984,3095,2556.6,36.35,-17.49
2965,"Catostomus commersonii","(Lacepède, 1803)","Catostomus commersonii","2022-09-16",2359014,53802,53790,NA,"code",36524,3083.2,2452,35.17,-27.95
2499,"Chelon labrosus","(Risso, 1827)","Chelon labrosus","2022-09-16",2400863,14087,14039,NA,"code",2113,3076,2697.6,34.45,-3.38999999999999
4878,"Chondrostoma nasus","(Linnaeus, 1758)","Chondrostoma nasus","2022-09-16",2360551,63282,63255,NA,"code",61938,3043.2,2607,31.17,-12.45
